id,name,job
426,Carl Laemmle Jr.,Producer
427,Philip Glass,Original Music Composer
428,Bram Stoker,Novel
429,Anthony Dod Mantle,Director of Photography
430,Søren Kragh-Jacobsen,Director
431,Richard Kelly,Screenplay
432,Mickey Giacomazzi,Stunt Coordinator
433,Drew Barrymore,Executive Producer
434,Ang Lee,Director
435,James Schamus,Producer
436,Larry McMurtry,Screenplay
437,Maxwell Anderson,Writer
438,Lewis Milestone,Director
439,Erich Maria Remarque,Novel
440,George Abbott,Screenplay
441,Arthur Edeson,Director of Photography
442,Edward L. Cahn,Editor
443,Wim Wenders,Director
444,Peter Handke,Author
445,Job Gosschalk,Casting
446,Peter Pau,Director of Photography
447,François Truffaut,Producer
448,Jean Constantin,Original Music Composer
449,Walter Hill,Director
450,Roger Spottiswoode,Author
451,Steven E. de Souza,Author
452,James Horner,Original Music Composer
453,Gene Roddenberry,Producer
454,Richard H. Kline,Director of Photography
455,Jerry Goldsmith,Original Music Composer
456,Sofia Coppola,Producer
457,Spike Jonze,Thanks
458,Wes Anderson,Thanks
459,Josh Hartnett,Thanks
460,Paul Simon,Thanks
461,Roman Coppola,Thanks
462,Lorne Michaels,Thanks
463,Kelly Lynch,Thanks
464,Mitch Glazer,Associate Producer
465,Ross Katz,Producer
466,Michael Minor,Art Direction
467,Jack B. Sowards,Story
468,Harve Bennett,Story
469,Nicholas Meyer,Director
470,Kevin Kaska,Orchestrator
471,Lindy Hemming,Costume Design
472,David S. Goyer,Story
473,Bob Kane,Characters
474,Lee Smith,Editor
475,Michael Uslan,Executive Producer
476,Nathan Crowley,Production Design
477,Thomas Tull,Executive Producer
478,Bill Finger,Characters
479,Jerry Robinson,Characters
480,Jim Wilkey,Stunts
481,Brian Christensen,Stunts
482,Jessie Graff,Stunts
483,Leonard Nimoy,Director
484,Til Schweiger,Producer
485,André Hennicke,Producer
486,Sönke Wortmann,Director
487,Ralf König,Author
488,Louis Lumière,Director
489,George Clayton Johnson,Author
490,Dawn Lunsford,Foley
491,Steven Soderbergh,Director
492,Jerry Weintraub,Producer
493,Alicia Stevenson,Foley
494,Al Cerullo,Pilot
495,Gregory Jacobs,First Assistant Director
496,Denise Di Novi,Producer
497,Colleen Halsey,Editor
498,Gary Ross,Thanks
499,Felipe Savahge,Utility Stunts
500,George Nolfi,Screenplay
501,Edith Head,Costume Supervisor
502,Blake Edwards,Director
503,Truman Capote,Author
504,Henry Mancini,Original Music Composer
505,Claude Pinoteau,Author
506,Danièle Thompson,Author
507,Vladimir Cosma,Original Music Composer
508,Iain Softley,Director
509,Alan D. Purwin,Pilot
510,Ronald Sinclair,ADR Editor
511,Alex Garland,Screenplay
512,Danny Boyle,Director
513,Brian Eno,Musical
514,Renaud,Original Music Composer
515,William Shatner,Director
516,Richard Fleischer,Director
517,Jules Verne,Novel
518,Walt Disney,Producer
519,Paul J. Smith,Original Music Composer
520,Harper Goff,Production Design
521,Ralph Winter,Producer
522,Leigh Whannell,Writer
523,James Wan,Story
524,Kevin Greutert,Editor
525,Cindy Carr,Set Decoration
526,Richard LaGravenese,Writer
527,Steven Zaillian,Author
528,Scott Frank,Author
529,Anthony Minghella,Executive Producer
530,Dianne Dreyer,Script Supervisor
531,Kevin Misher,Producer
532,Sydney Pollack,Executive Producer
533,Ted Robbins,Unit Production Manager
534,Sergio Mimica-Gezzan,First Assistant Director
535,Jan de Bont,Producer
536,Michael Doven,Associate Producer
537,Brian Smrz,Stunt Coordinator
538,Gerald R. Molen,Producer
539,Jake Garber,Makeup Effects
