movie_id,crew_id,role
279,746,Director
280,23,Sound Designer
280,313,Producer
280,362,Stunts
280,363,Stunts
280,608,Dialogue
280,609,Director of Photography
280,612,Director
280,747,Makeup Effects
280,748,Visual Effects
280,749,Makeup Artist
281,280,Original Music Composer
281,612,Director
281,750,Production Design
281,751,Director
281,752,Casting
284,19,Original Music Composer
284,655,Screenplay
284,753,Screenplay
284,754,Director of Photography
285,97,Screenstory
285,98,Screenplay
285,103,Producer
285,109,Executive Producer
285,110,Director
285,116,Makeup Department Head
285,153,Original Music Composer
285,178,Casting
285,755,Stunts
286,486,Director
287,297,Casting
288,756,Producer
288,757,Director
288,758,Executive Producer
288,759,Stunts
289,441,Director of Photography
289,520,Production Design
289,596,Producer
289,760,Other
289,761,Director
290,129,Director of Photography
290,379,Writer
290,380,Original Music Composer
290,381,Director
291,762,Director
292,163,Story
292,164,Director of Photography
292,763,Author
293,764,Director
293,765,Original Music Composer
293,766,Screenplay
294,767,Set Decoration
296,313,Producer
296,612,Director
296,747,Makeup Effects
296,768,Script Supervisor
296,769,Art Direction
296,770,Supervising Sound Editor
296,771,3D Supervisor
296,772,Original Music Composer
297,38,Original Music Composer
297,304,Director
297,388,Casting
297,564,Production Design
297,773,Hairstylist
297,774,Screenplay
297,775,Director of Photography
298,489,Author
298,491,Director
298,492,Producer
298,776,Screenplay
298,777,Screenplay
298,778,Hairstylist
299,438,Director
300,163,Story
301,779,Producer
301,780,Stunt Coordinator
301,781,Director of Photography
302,782,Screenplay
302,783,Original Music Composer
303,66,Director of Photography
303,501,Costume Supervisor
303,601,Producer
303,784,Director of Photography
303,785,Screenplay
306,302,Screenplay
306,451,Author
306,786,Director
306,787,Original Music Composer
306,788,Director of Photography
307,789,Screenplay
307,790,Screenplay
308,791,Director
308,792,Director of Photography
309,429,Director of Photography
309,793,Screenplay
310,550,Original Music Composer
310,568,Casting
310,569,Casting
310,606,Makeup Artist
310,794,Stand In
310,795,Executive Producer
310,796,Executive Producer
310,797,Producer
310,798,Director
310,799,Director of Photography
311,206,Producer
311,391,Original Music Composer
311,395,Costume Design
311,800,Screenplay
311,801,Screenplay
311,802,Stunts
312,803,Director
313,132,Producer
313,133,Author
313,804,Director
313,805,Executive Producer
314,104,Original Music Composer
314,105,Sound Designer
314,250,Casting
314,276,Helicopter Camera
314,400,Executive Producer
314,473,Characters
314,475,Executive Producer
314,496,Producer
314,769,Art Direction
314,806,Director
314,807,Music Supervisor
314,808,Additional Music
314,809,Stunts
315,810,Producer
315,811,Editor
317,812,Producer
317,813,Director
318,212,Director of Photography
318,443,Director
318,814,Producer
319,6,Writer
319,119,Executive Producer
319,120,Executive Producer
319,153,Original Music Composer
319,318,Director
319,551,Casting
319,622,Casting
319,626,Casting
319,796,Executive Producer
319,815,Screenplay
319,816,Producer
320,251,Director of Photography
320,254,Screenplay
320,258,Casting
320,476,Production Design
320,491,Director
320,629,Executive Producer
320,817,Stunt Coordinator
321,818,Original Music Composer
321,819,Producer
321,820,Director
322,147,Director
322,222,Assistant Director
322,400,Executive Producer
322,821,Author
322,822,Author
326,609,Director of Photography
326,823,Screenplay
326,824,Casting
326,825,Director
327,270,Original Music Composer
327,648,Producer
327,677,Screenplay
329,17,Animation
329,19,Original Music Composer
329,23,Sound Designer
329,41,Production Design
329,55,Script Supervisor
329,105,Sound Designer
329,234,Editor
329,236,Author
329,237,Director
329,238,Producer
329,343,Director of Photography
329,538,Producer
329,641,Casting
329,826,Novel
329,827,Visual Effects Supervisor
329,828,Propmaker
330,19,Original Music Composer
330,23,Sound Designer
330,41,Production Design
330,55,Script Supervisor
330,105,Sound Designer
330,233,Director of Photography
330,234,Editor
330,236,Author
330,237,Director
330,238,Producer
330,534,First Assistant Director
330,538,Producer
330,641,Casting
330,727,Stunts
330,826,Novel
331,105,Sound Designer
331,237,Director
331,238,Producer
331,826,Novel
331,829,Writer
331,830,Director
331,831,Casting
332,832,Director
332,833,Screenplay
334,42,Leadman
334,166,Original Music Composer
334,834,Director
334,835,Additional Music
334,836,Songs
335,391,Original Music Composer
335,563,Director of Photography
335,786,Director
335,801,Screenplay
335,837,Story
335,838,Story
336,391,Original Music Composer
336,801,Screenplay
336,802,Stunts
336,839,Special Effects
337,840,Producer
337,841,Novel
337,842,Producer
338,340,Thanks
339,791,Director
339,792,Director of Photography
339,843,Songs
340,74,Casting
340,844,Screenplay
340,845,Author
340,846,Director of Photography
340,847,Casting
342,848,Author
343,367,Director of Photography
343,849,Producer
343,850,Casting
343,851,Director
344,852,Director
344,853,Producer
345,178,Casting
345,184,Screenplay
345,854,Writer
345,855,Casting
346,856,Editor
346,857,Music
347,91,Set Designer
347,655,Screenplay
347,858,Director
347,859,Screenplay
348,256,Director
348,449,Director
348,455,Original Music Composer
348,860,Production Design
349,861,Producer
350,862,Director
350,863,Costume Design
350,864,Original Music Composer
350,865,Screenplay
363,316,Production Manager
363,866,Producer
363,867,Producer
363,868,Original Music Composer
363,869,Producer
364,116,Makeup Department Head
364,241,Producer
364,246,Editor
364,247,Original Music Composer
364,473,Characters
364,475,Executive Producer
364,496,Producer
364,720,Casting
364,870,Screenplay
364,871,Screenplay
377,872,Director
377,873,Producer
378,379,Writer
